zip	state	mean_income	median_income	population
01564	MA	102115	118110	7267
01566	MA	72387	87792	5531
01568	MA	107950	121356	5650
01569	MA	80536	86326	11080
01570	MA	50142	57820	16396
01571	MA	64228	72674	10023
01581	MA	101876	123550	17899
01583	MA	79865	91095	6665
01585	MA	60376	72571	4472
01588	MA	67286	80025	8644
01590	MA	104730	116563	8247
01602	MA	61861	78374	21596
01603	MA	37454	46307	14613
01604	MA	47438	59373	33032
01605	MA	41023	54480	24799
01606	MA	57646	70503	19516
01607	MA	47987	59094	8415
01608	MA	26526	39039	3634
01609	MA	44501	62365	20425
01610	MA	21388	28805	15545
01611	MA	63333	73699	2206
01612	MA	100358	104489	4363
01701	MA	92018	102936	31114
01702	MA	53081	65995	35990
01718	MA	84559	121293	374
01719	MA	102222	119845	4870
01720	MA	110534	131678	19798
01721	MA	91904	114036	14602
01730	MA	107033	125494	12547
01731	MA	77369	96728	2914
01740	MA	125741	148232	4125
01741	MA	155000	189989	4798
01742	MA	119902	183178	17075
01745	MA	114761	142894	331
01746	MA	101901	122803	13866
01747	MA	97227	102044	5815
01748	MA	121182	170522	13318
01749	MA	76500	85689	18081
01752	MA	71835	89002	36273
01754	MA	76228	82167	10414
01756	MA	102625	117692	5257
01757	MA	68565	82206	26877
01760	MA	90673	113933	31763
01770	MA	145250	190251	4245
01772	MA	141459	169609	8435
01773	MA	143771	194811	5143
01775	MA	117440	129280	5902
01776	MA	152789	184218	16826
01778	MA	140652	187265	13191
01801	MA	71805	79381	37213
01803	MA	90659	102991	22954
01810	MA	113874	142022	31228
01821	MA	87745	95088	29306
01824	MA	99032	111953	25234
01826	MA	71731	80688	28728
01827	MA	113594	120673	2847
01830	MA	63388	71759	24320
01832	MA	57959	69232	21246
01833	MA	97895	115435	7356
01834	MA	84232	95694	6027
01835	MA	76253	86304	13426
01840	MA	18507	28624	4350
01841	MA	34128	42598	44474
01843	MA	42587	52579	23184
01844	MA	66023	75431	43770
01845	MA	99505	123973	27203
01850	MA	54087	58893	15688
01851	MA	51795	61695	29549
01852	MA	55089	62626	32848
01854	MA	44616	54300	26785
01860	MA	75517	93951	6145
01862	MA	86304	90705	10097
01863	MA	77458	88612	8558
01864	MA	97574	112662	13849
01867	MA	103358	120487	23657
01876	MA	83976	95140	28599
01879	MA	92239	106477	11092
01880	MA	89830	99935	24610
01886	MA	123906	142724	20811
01887	MA	97107	108007	21279
01890	MA	128546	176001	20806
01901	MA	18257	33810	1630
01902	MA	38107	49159	45617
01904	MA	69263	77218	17916
01905	MA	42449	51336	23905
01906	MA	69051	84874	26160
01907	MA	90516	120329	14463
01913	MA	73843	90786	16447
01915	MA	71363	90717	39854
01921	MA	143045	205695	7903
01922	MA	91052	113098	3041
01923	MA	76695	97283	25239
01929	MA	76989	104199	3272
01930	MA	63047	78512	30261
01938	MA	82395	98029	12981
01940	MA	90677	114264	11926
01944	MA	105000	148622	5234
01945	MA	95942	139641	20370
01949	MA	87728	106394	7748
01950	MA	76313	102337	17249
01951	MA	91052	113098	3622
01952	MA	62924	77419	7819
01960	MA	67119	78619	47991
01966	MA	73676	93990	7762
01969	MA	74911	97895	5504
01970	MA	57313	70552	40268
01982	MA	97491	104573	8299
01983	MA	115015	133663	6132
01984	MA	132697	181580	4451
01985	MA	111739	140801	4160
02019	MA	77420	84271	15248
02021	MA	88829	112721	20755
02025	MA	114214	165670	7255
02026	MA	85131	103594	23478
02030	MA	164583	240515	5561
02032	MA	77708	101593	3576
02035	MA	94994	108948	16163
02038	MA	92042	107379	29553
02043	MA	99910	146972	19867
02045	MA	70039	89785	11047
02047	MA	75170	102029	247
02048	MA	93593	109080	22393
02050	MA	85395	105524	24577
02052	MA	123176	169008	12254
02053	MA	100950	116761	12503
02054	MA	85472	95458	7892
02056	MA	111767	137649	10608
02061	MA	106730	144569	9785
02062	MA	72935	84347	28563
02066	MA	92394	116245	17349
02067	MA	117828	144691	17425
02071	MA	91781	107426	956
02072	MA	69340	81997	27342
02081	MA	92954	119375	18430
02090	MA	116083	154504	14150
02093	MA	94524	123596	10446
02108	MA	96033	149809	3324
02109	MA	92310	129015	3278
02110	MA	102972	135093	1606
02111	MA	31442	93529	4948
02113	MA	60386	84170	6453
02114	MA	69809	110095	11170
02115	MA	30282	54356	25637
02116	MA	80153	136491	19480
02118	MA	51368	82360	22527
02119	MA	36316	47419	23537
02120	MA	28794	41569	11553
02121	MA	28897	42271	24772
02122	MA	45859	59863	24385
02124	MA	43598	56611	51236
02125	MA	44266	57482	32937
02126	MA	51733	59320	27685
02127	MA	64285	80697	29457
02128	MA	42613	55095	38185
02129	MA	80223	108709	15195
02130	MA	69576	90455	34961
02131	MA	62945	73124	30491
02132	MA	76802	95567	25943
02134	MA	33863	47915	19641
02135	MA	52714	64682	41833
02136	MA	54410	67054	26418
02138	MA	68127	112348	34994
02139	MA	62821	83356	35273
02140	MA	65283	91656	17158
02141	MA	57909	79408	12010
02142	MA	61141	88669	1823
02143	MA	64966	79417	24864
02144	MA	68004	80579	24248
02145	MA	50718	63041	26833
02148	MA	55890	66741	56273
02149	MA	49696	62187	38109
02150	MA	40344	50098	34956
02151	MA	51723	60340	47323
